timestamp,thread_label,utilization,frequency
2023-03-25 15:53:11.296358233 +05:30,cpu0,83.49515,3800
2023-03-25 15:53:11.296423017 +05:30,cpu1,91.17647,3800
2023-03-25 15:53:11.296474320 +05:30,cpu2,84.46602,3800
2023-03-25 15:53:11.296520323 +05:30,cpu3,85.43689,3800
2023-03-25 15:53:11.296563640 +05:30,cpu4,82.35294,3800
2023-03-25 15:53:11.296606911 +05:30,cpu5,91.26214,3800
2023-03-25 15:53:11.296649289 +05:30,cpu6,78.43137,3799
2023-03-25 15:53:11.296689732 +05:30,cpu7,90.29126,3799
2023-03-25 15:53:12.328586487 +05:30,cpu0,82.69231,3744
2023-03-25 15:53:12.328661176 +05:30,cpu1,81.5534,3714
2023-03-25 15:53:12.328698494 +05:30,cpu2,90.196075,3716
2023-03-25 15:53:12.328737381 +05:30,cpu3,87.5,3704
2023-03-25 15:53:12.328761821 +05:30,cpu4,89.32039,3706
2023-03-25 15:53:12.328782319 +05:30,cpu5,85.57692,3714
2023-03-25 15:53:12.328802196 +05:30,cpu6,87.37864,3700
2023-03-25 15:53:12.328821712 +05:30,cpu7,86.27451,3704
2023-03-25 15:53:13.356375021 +05:30,cpu0,91.26214,3800
2023-03-25 15:53:13.356442436 +05:30,cpu1,85.29411,3802
2023-03-25 15:53:13.356473092 +05:30,cpu2,88.34952,3818
2023-03-25 15:53:13.356502387 +05:30,cpu3,80.58252,3818
2023-03-25 15:53:13.356530223 +05:30,cpu4,84.46602,3818
2023-03-25 15:53:13.356557273 +05:30,cpu5,83.33333,3861
2023-03-25 15:53:13.356584243 +05:30,cpu6,80.58252,3822
2023-03-25 15:53:13.356610986 +05:30,cpu7,89.32039,3818
2023-03-25 15:53:14.388363881 +05:30,cpu0,81.5534,3757
2023-03-25 15:53:14.388430040 +05:30,cpu1,87.37864,3776
2023-03-25 15:53:14.388461204 +05:30,cpu2,90.29126,3767
2023-03-25 15:53:14.388490421 +05:30,cpu3,90.29126,3768
2023-03-25 15:53:14.388519381 +05:30,cpu4,82.85715,3771
2023-03-25 15:53:14.388548158 +05:30,cpu5,86.40777,3776
